CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,19/03/2019,17:59:28,27.6007042,-97.5121765,3D,,,,
OK,21/03/2019,17:59:28,27.6006279,-97.5140991,3D,,,,
OK(corrected),21/03/2019,17:59:28,27.6006279,-97.4092941,3D,,,,
OK,23/03/2019,17:59:28,27.6004734,-97.5156097,3D,,,,
OK,27/03/2019,17:59:28,27.6006527,-97.5181198,3D,,,,
OK,29/03/2019,17:59:28,27.6006012,-97.5249557,3D,,,,
OK,31/03/2019,17:59:28,27.6006279,-97.5179901,3D,,,,
OK,02/04/2019,17:59:28,27.6007042,-97.5166855,3D,,,,
OK,04/04/2019,17:59:28,27.6009598,-97.5195541,3D,,,,
OK,30/04/2019,22:55:15,46.652,-108.732,A0,,,,
Fail,11/03/2002,03:44:00,29.2783737,-97.5153503,3D,,,,
Fail,07/03/2019,11:26:56,30.9560699,-97.5179901,3D,,,,
Fail,17/03/2019,20:16:00,34.3115921,-43.8257523,3D,,,,
Fail,25/03/2019,17:59:28,41.0223503,-97.4327698,3D,,,,
Fail,04/04/2019,17:59:28,27.6009598,-97.5195541,3D,,,,
Fail,08/07/2019,20:09:36,81.2877960,-204.8875885,3D,,,,
Fail,23/09/2019,22:53:52,27.6023159,-97.5128174,3D,,,,
