CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,20/06/2018,17:59:28,56.9081459,-117.5445862,3D,,,,
OK,22/06/2018,17:59:28,56.9080200,-117.5436935,3D,,,,
OK,24/06/2018,17:59:28,56.9080429,-117.5441055,3D,,,,
OK,26/06/2018,17:59:28,56.9173393,-117.5343475,2D,,,,
OK,28/06/2018,17:59:28,56.9057655,-117.5445404,3D,,,,
OK,30/06/2018,17:59:28,56.9054070,-117.5427933,3D,,,,
OK,02/07/2018,17:59:28,56.9029007,-117.5387802,2D,,,,
Fail,19/05/2018,04:54:24,56.9080696,-117.5431519,3D,,,,
Fail,04/07/2018,17:59:28,56.8829842,-117.5441284,3D,,,,
