CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK(corrected),03/08/2018,17:59:28,55.9779472,-117.2936096,3D,,,,
OK,05/08/2018,17:59:28,54.7856522,-113.5075455,3D,,,,
OK(corrected),07/08/2018,17:59:28,54.7872887,-113.5075684,3D,,,,
OK,09/08/2018,17:59:28,54.7862930,-113.5075455,3D,,,,
OK,11/08/2018,17:59:28,54.7839355,-113.5111771,3D,,,,
OK,13/08/2018,17:59:28,54.7839622,-113.5107422,3D,,,,
OK,15/08/2018,17:59:28,54.7839355,-113.5092621,3D,,,,
OK,17/08/2018,17:59:28,54.7874451,-113.5143585,3D,,,,
OK,19/08/2018,17:59:28,54.7883377,-113.5075684,3D,,,,
OK,19/08/2018,23:33:50,54.814,-113.528,AA,,,,
OK,21/08/2018,17:59:28,54.5833855,-113.0522766,3D,,,,
OK,23/08/2018,17:59:28,54.5535889,-112.9867172,3D,,,,
OK,25/08/2018,17:59:28,54.5582962,-112.9930115,3D,,,,
OK(corrected),27/08/2018,17:59:28,54.5582733,-113.0040970,3D,,,,
OK,29/08/2018,17:59:28,54.5598602,-113.0048904,3D,,,,
OK,31/08/2018,17:59:28,54.5582733,-113.0024338,3D,,,,
OK,02/09/2018,18:12:39,54.548,-112.973,A2,,,,
