CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,23/03/2018,18:01:36,27.7437057,-97.1330414,3D,,,,
OK,25/03/2018,18:01:36,27.7412987,-97.1327133,3D,,,,
OK,27/03/2018,18:01:36,27.7482376,-97.1261292,3D,,,,
OK,29/03/2018,18:01:36,27.7438335,-97.1352692,3D,,,,
OK,31/03/2018,18:01:36,27.7477760,-97.1276169,3D,,,,
OK,05/04/2018,00:11:56,27.730,-97.139,AA,,,,
Fail,19/03/2018,18:01:36,81.4279785,-97.1273880,3D,,,,
Fail,27/03/2018,18:01:36,81.4353256,-97.1261292,3D,,,,
Fail,29/03/2018,18:01:36,27.7438335,-97.1352692,3D,,,,
Fail,31/03/2018,18:10:08,29.4189434,-70.2840729,3D,,,,
