CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,18/08/2019,00:42:56,39.230,-76.821,A3,,,,
OK,18/08/2019,01:15:31,39.229,-76.818,AA,,,,
OK,18/08/2019,01:16:04,39.231,-76.820,AB,,,,
OK,18/08/2019,01:39:17,39.234,-76.803,A2,,,,
OK,18/08/2019,02:22:27,39.232,-76.812,A3,,,,
OK,18/08/2019,02:57:42,39.235,-76.817,AB,,,,
OK,18/08/2019,03:21:23,39.247,-76.826,A2,,,,
OK,18/08/2019,04:06:15,39.245,-76.835,AB,,,,
OK,18/08/2019,08:35:51,39.205,-76.891,AB,,,,
OK,18/08/2019,09:15:54,39.231,-76.814,A3,,,,
OK,18/08/2019,10:14:52,39.232,-76.819,A3,,,,
OK,18/08/2019,10:50:03,39.231,-76.816,A3,,,,
OK,18/08/2019,11:58:51,39.228,-76.841,AA,,,,
OK,18/08/2019,13:02:39,39.348,-76.858,AB,,,,
OK,18/08/2019,14:03:33,39.228,-76.757,A0,,,,
OK,18/08/2019,14:39:03,39.222,-76.766,A0,,,,
OK,18/08/2019,15:14:01,39.191,-77.399,A0,,,,
OK,18/08/2019,15:38:31,39.224,-76.469,A0,,,,
OK,18/08/2019,16:20:27,39.358,-76.675,AA,,,,
OK,18/08/2019,20:02:32,39.271,-76.952,A0,,,,
OK,18/08/2019,21:39:49,38.991,-77.843,A0,,,,
OK,18/08/2019,23:05:16,39.243,-76.859,A1,,,,
OK,18/08/2019,23:21:34,39.243,-76.859,AB,,,,
OK,18/08/2019,23:41:03,39.224,-76.824,A2,,,,
OK,19/08/2019,00:26:14,39.223,-76.819,A1,,,,
OK,19/08/2019,00:44:05,39.229,-76.814,A3,,,,
OK,19/08/2019,01:19:18,39.232,-76.817,A3,,,,
OK,19/08/2019,02:01:39,39.231,-76.820,A2,,,,
OK,19/08/2019,02:35:39,39.233,-76.811,AA,,,,
OK,19/08/2019,03:00:09,39.232,-76.816,A2,,,,
OK,19/08/2019,03:46:41,39.249,-76.785,AB,,,,
OK,19/08/2019,08:42:08,39.227,-76.814,A1,,,,
OK,19/08/2019,10:01:39,39.232,-76.816,A3,,,,
OK,19/08/2019,10:21:04,39.231,-76.817,A3,,,,
OK,19/08/2019,11:41:58,39.254,-76.868,A1,,,,
OK,19/08/2019,11:58:14,39.254,-76.811,A0,,,,
OK,19/08/2019,13:39:45,39.231,-76.785,A2,,,,
OK,19/08/2019,14:18:21,39.199,-76.799,A0,,,,
OK,19/08/2019,14:57:39,39.204,-76.968,A0,,,,
OK,19/08/2019,15:26:06,39.344,-76.707,A0,,,,
OK,19/08/2019,15:57:41,39.194,-76.823,A0,,,,
OK,19/08/2019,19:50:45,39.456,-76.996,A0,,,,
OK,19/08/2019,21:27:45,39.263,-76.717,A0,,,,
OK,19/08/2019,22:31:46,39.232,-76.820,A3,,,,
OK,19/08/2019,23:08:58,39.233,-76.814,A2,,,,
OK,19/08/2019,23:23:29,39.233,-76.814,AB,,,,
OK,20/08/2019,00:04:56,39.245,-76.827,A1,,,,
OK,20/08/2019,00:13:24,39.231,-76.813,A3,,,,
OK,20/08/2019,00:57:09,39.232,-76.816,A3,,,,
OK,20/08/2019,01:41:57,39.231,-76.816,A3,,,,
OK,20/08/2019,02:16:22,39.232,-76.818,A2,,,,
OK,20/08/2019,02:39:12,39.233,-76.813,A3,,,,
OK,20/08/2019,03:20:21,39.231,-76.817,A3,,,,
OK,20/08/2019,09:48:21,39.231,-76.817,A3,,,,
OK,20/08/2019,09:50:24,39.230,-76.816,A3,,,,
OK,20/08/2019,11:30:34,39.242,-76.821,A1,,,,
OK,20/08/2019,11:32:48,39.240,-76.813,A1,,,,
