CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,14/09/2018,17:59:28,48.3472786,-106.4146576,3D,,,,
OK,16/09/2018,17:59:28,47.9444618,-105.8100891,3D,,,,
OK,18/09/2018,17:59:28,46.0317841,-103.6630630,3D,,,,
OK(corrected),20/09/2018,17:59:28,45.8489456,-103.4551163,3D,,,,
OK(corrected),24/09/2018,17:59:28,45.3558388,-102.7490158,3D,,,,
OK(corrected),26/09/2018,17:59:28,40.5654907,-99.2086945,3D,,,,
OK,28/09/2018,17:59:28,40.5648766,-99.1937637,3D,,,,
OK,30/09/2018,17:59:28,40.5654411,-99.1938934,3D,,,,
OK,02/10/2018,17:59:28,40.5650291,-99.1936646,3D,,,,
OK,04/10/2018,17:59:28,37.7950325,-98.0572281,3D,,,,
OK(corrected),04/10/2018,17:59:28,37.7688179,-94.7017822,3D,,,,
OK,06/10/2018,17:59:28,36.9396095,-97.9965057,3D,,,,
OK,06/10/2018,22:33:45,36.950,-97.982,A0,,,,
OK,08/10/2018,17:59:28,36.9407120,-97.9954300,3D,,,,
OK,10/10/2018,17:59:28,34.8436852,-97.6968613,3D,,,,
OK,12/10/2018,17:59:28,31.5016060,-98.9160614,3D,,,,
OK,12/10/2018,23:07:02,31.482,-98.914,A1,,,,
OK(corrected),14/10/2018,17:59:28,31.0946178,-98.6205826,3D,,,,
OK,16/10/2018,17:59:28,29.2057991,-98.2770844,3D,,,,
OK,18/10/2018,17:59:28,25.9721851,-98.1946259,2D,,,,
OK,20/10/2018,17:59:28,24.8717690,-98.0701828,3D,,,,
OK,22/10/2018,17:59:28,21.5841923,-97.8084259,3D,,,,
OK(corrected),24/10/2018,17:59:28,17.2387962,-93.5998840,3D,,,,
OK,24/10/2018,22:22:41,-35.463,-78.592,AZ,,,,
Fail,15/05/2001,10:37:52,117.0802536,-55.3350029,3D,,,,
Fail,10/04/2018,07:51:28,24.8979836,-94.6950302,3D,,,,
Fail,22/09/2018,17:59:28,45.8299789,-103.5961227,2D,,,,
Fail,04/10/2018,17:59:28,43.6605072,-98.0572281,3D,,,,
Fail,06/10/2018,17:59:28,37.1493263,-205.3715057,3D,,,,
Fail,12/10/2018,17:59:28,31.5021191,-98.9160614,3D,,,,
Fail,15/10/2018,17:10:24,34.8436852,-97.6837540,2D,,,,
Fail,24/09/2022,02:31:28,45.5980415,-99.1937637,3D,,,,
Fail,05/07/2033,14:34:40,168.6199493,-91.3014908,2D,,,,
