CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,04/06/2019,18:01:36,50.3812981,-104.5260696,3D,,,,
OK,06/06/2019,18:01:36,50.3810959,-104.5267868,3D,,,,
OK,08/06/2019,18:01:36,50.3811455,-104.5258865,3D,,,,
OK,10/06/2019,18:01:36,50.3812981,-104.5260696,3D,,,,
OK,12/06/2019,18:01:36,50.3812485,-104.5260391,3D,,,,
OK,14/06/2019,18:01:36,50.3812218,-104.5260162,3D,,,,
OK,16/06/2019,18:01:36,50.3812981,-104.5261459,3D,,,,
OK,18/06/2019,18:01:36,50.3816071,-104.5255814,3D,,,,
OK,20/06/2019,18:01:36,50.3820915,-104.5405350,3D,,,,
OK,22/06/2019,18:01:36,50.3812752,-104.5253754,3D,,,,
OK,24/06/2019,18:01:36,50.3811951,-104.5259933,3D,,,,
OK,18/07/2019,18:04:06,50.478,-104.654,AA,,,,
OK,18/07/2019,18:19:51,50.395,-104.555,A1,,,,
OK,18/07/2019,18:45:55,50.397,-104.555,AB,,,,
OK,18/07/2019,19:40:49,50.396,-104.559,AB,,,,
OK,18/07/2019,22:41:02,50.401,-104.533,A1,,,,
OK,18/07/2019,22:47:01,50.401,-104.533,AB,,,,
OK(corrected),15/12/2019,19:05:36,50.3812981,-104.5261459,3D,,,,
Fail,01/03/2019,15:51:28,52.0587921,-97.8257523,3D,,,,
Fail,08/06/2019,18:01:36,50.3811455,-104.5258865,3D,,,,
Fail,20/06/2019,18:01:36,50.3820915,-104.5405350,3D,,,,
Fail,22/06/2019,11:33:20,50.3812981,-104.5391769,3D,,,,
Fail,22/06/2019,18:01:36,50.3812752,-104.5253754,3D,,,,
Fail,22/06/2019,22:34:40,6.0843391,-104.4905853,3D,,,,
Fail,12/08/2019,07:06:40,50.7873154,-104.5259933,3D,,,,
Fail,21/11/2045,14:13:20,106.0141220,-10.8560514,2D,,,,
