CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,05/06/2019,17:59:28,50.2804871,-105.5753098,3D,,,,
OK,05/06/2019,17:59:28,50.2804604,-105.5753632,3D,,,,
OK,07/06/2019,17:59:28,50.2804871,-105.5741806,3D,,,,
OK,09/06/2019,17:59:28,50.2804871,-105.5753098,3D,,,,
OK(corrected),09/06/2019,17:59:28,50.2804871,-107.2468338,3D,,,,
OK,11/06/2019,17:59:28,50.2805138,-105.5753098,3D,,,,
OK,13/06/2019,17:59:28,50.2804871,-105.5741043,3D,,,,
OK,15/06/2019,17:59:28,50.2804871,-105.5753098,3D,,,,
OK,17/06/2019,17:59:28,50.2806664,-105.5753632,3D,,,,
OK,19/06/2019,17:59:28,50.2804108,-105.5753098,3D,,,,
OK(corrected),19/06/2019,17:59:28,49.0234756,-105.4983063,3D,,,,
OK,21/06/2019,17:59:28,50.2804108,-105.5753098,3D,,,,
OK,23/06/2019,17:59:28,50.2804337,-105.5740280,3D,,,,
OK,25/06/2019,17:59:28,50.2804604,-105.5752869,3D,,,,
OK,19/07/2019,18:08:08,50.020,-105.330,AB,,,,
OK,19/07/2019,18:17:42,50.293,-105.581,AA,,,,
OK,19/07/2019,19:17:36,50.331,-105.561,AB,,,,
OK,19/07/2019,20:01:08,50.327,-105.470,AA,,,,
OK,19/07/2019,20:53:46,50.317,-105.434,AB,,,,
OK,19/07/2019,22:33:05,50.281,-105.573,A2,,,,
OK,19/07/2019,23:36:28,50.269,-105.570,AB,,,,
Fail,05/06/2019,17:59:28,50.2804871,-105.5720291,3D,,,,
Fail,09/06/2019,14:43:12,53.6358528,-107.2530289,3D,,,,
Fail,11/06/2019,15:42:56,23.4369659,-104.3170166,3D,,,,
Fail,21/06/2019,17:59:28,50.2802048,-104.7364502,3D,,,,
Fail,23/06/2019,17:59:28,50.2804337,-105.5740280,3D,,,,
Fail,25/06/2019,17:59:28,50.2804604,-105.5752869,3D,,,,
Fail,05/07/2019,21:15:44,22.5980282,-105.5740280,3D,,,,
Fail,07/10/2023,08:08:32,50.2804871,135.6233826,3D,,,,
Fail,29/01/2024,13:24:16,107.2850571,-103.5666809,2D,,,,
Fail,09/01/2051,10:12:16,100.5607300,105.3777313,2D,,,,
Fail,27/01/2054,08:12:48,-124.0482941,80.4094086,3D,,,,
