CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,08/05/2020,17:59:28,43.5245705,-116.5257874,3D,,,,
OK,09/05/2020,18:01:36,43.5245705,-116.5257874,3D,,,,
OK,10/05/2020,17:59:28,43.5245438,-116.5257568,3D,,,,
OK,11/05/2020,18:01:36,43.5245705,-116.5257568,3D,,,,
OK,12/05/2020,17:59:28,43.5245438,-116.5257568,3D,,,,
OK,13/05/2020,18:01:36,43.5245705,-116.5257874,3D,,,,
OK,13/05/2020,18:27:29,43.518,-116.519,AA,,,,
OK,14/05/2020,17:59:28,43.5242119,-116.5253754,3D,,,,
OK,26/05/2020,18:23:50,51.918,-158.182,AA,,,,
OK,26/05/2020,19:07:57,43.537,-116.511,AA,,,,
Fail,03/06/2003,05:45:36,43.3148537,-116.5257874,3D,,,,
Fail,27/03/2020,04:50:08,50.2350960,-116.5253754,3D,,,,
Fail,12/05/2020,17:59:28,43.5245438,-116.5257568,3D,,,,
Fail,13/05/2020,18:01:36,43.5245705,-116.5248642,3D,,,,
Fail,14/05/2020,17:59:28,43.5242119,-116.5253754,3D,,,,
