CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,27/03/2019,17:59:28,27.6460419,-97.5572891,3D,,,,
OK,29/03/2019,17:59:28,27.6460419,-97.5572891,3D,,,,
OK,02/04/2019,17:59:28,27.6460419,-97.5572357,2D,,,,
OK(corrected),04/04/2019,17:59:28,27.6460667,-97.5573349,3D,,,,
OK,06/04/2019,17:59:28,27.6460419,-97.5573349,3D,,,,
OK,08/04/2019,17:59:28,27.6460152,-97.5572891,3D,,,,
OK,14/04/2019,22:39:24,27.645,-97.561,AA,,,,
Fail,10/04/2019,17:59:28,27.5936127,-97.6490402,3D,,,,
Fail,12/04/2019,17:59:28,27.6460419,-97.5572891,3D,,,,
Fail,14/04/2019,17:59:28,27.6459656,-97.5591049,3D,,,,
