CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,23/04/2020,18:05:52,43.5956345,-116.2357101,3D,,,,
OK,23/04/2020,19:05:36,43.5956612,-116.2357864,3D,,,,
OK,23/04/2020,20:05:20,43.5956078,-116.2357864,3D,,,,
OK,24/04/2020,01:16:20,43.599,-116.216,A2,,,,
OK,24/04/2020,01:18:21,43.605,-116.228,AB,,,,
OK,29/04/2020,18:01:36,43.4897804,-116.2638702,3D,,,,
OK,30/04/2020,17:59:28,43.4897537,-116.2639008,3D,,,,
OK,01/05/2020,18:01:36,43.4903183,-116.2651520,3D,,,,
OK,02/05/2020,17:59:28,43.4897804,-116.2639008,3D,,,,
OK,03/05/2020,18:01:36,43.4894714,-116.2624359,3D,,,,
OK,04/05/2020,17:59:28,43.4897804,-116.2639008,3D,,,,
OK,04/05/2020,18:09:24,43.491,-116.256,A2,,,,
OK,05/05/2020,18:01:36,43.4897804,-116.2638702,3D,,,,
OK,06/05/2020,17:59:28,43.4889603,-116.2629013,3D,,,,
OK,07/05/2020,18:01:36,43.4898033,-116.2638702,3D,,,,
OK,08/05/2020,00:16:07,43.493,-116.262,A3,,,,
Fail,15/05/2020,21:17:52,43.4894714,-116.4721527,3D,,,,
