CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,18/08/2019,00:42:21,39.230,-76.817,A3,,,,
OK,18/08/2019,01:15:38,39.229,-76.815,A2,,,,
OK,18/08/2019,01:16:29,39.229,-76.816,AB,,,,
OK,18/08/2019,01:39:24,39.231,-76.816,A2,,,,
OK,18/08/2019,02:22:19,39.232,-76.817,A3,,,,
OK,18/08/2019,03:21:08,39.239,-76.821,AA,,,,
OK,18/08/2019,04:03:44,39.217,-76.810,A1,,,,
OK,18/08/2019,12:00:09,39.231,-76.821,A1,,,,
OK,18/08/2019,12:32:09,39.219,-76.819,AB,,,,
OK,18/08/2019,14:02:42,39.251,-76.842,A1,,,,
OK,18/08/2019,14:41:12,39.229,-76.751,A0,,,,
OK,18/08/2019,15:11:12,39.231,-76.746,AA,,,,
OK,18/08/2019,15:44:31,39.270,-76.880,A1,,,,
OK,18/08/2019,16:26:46,39.079,-76.841,A0,,,,
OK,18/08/2019,20:02:32,39.205,-76.873,A0,,,,
OK,18/08/2019,21:39:04,39.213,-76.850,A0,,,,
OK,18/08/2019,23:04:52,39.231,-76.819,A3,,,,
OK,18/08/2019,23:21:30,39.234,-76.815,AB,,,,
OK,18/08/2019,23:41:49,39.224,-76.814,A1,,,,
OK,19/08/2019,00:25:05,39.230,-76.816,A2,,,,
OK,19/08/2019,00:46:19,39.231,-76.817,A3,,,,
OK,19/08/2019,01:02:57,39.232,-76.816,AB,,,,
OK,19/08/2019,01:18:45,39.233,-76.815,A3,,,,
OK,19/08/2019,02:02:54,39.229,-76.823,A2,,,,
OK,19/08/2019,03:00:27,39.236,-76.826,A1,,,,
OK,19/08/2019,03:42:39,39.237,-76.819,AA,,,,
OK,19/08/2019,11:47:31,39.219,-76.816,A2,,,,
OK,19/08/2019,12:00:52,39.218,-76.810,A1,,,,
OK,19/08/2019,13:39:09,39.238,-76.825,A2,,,,
OK,19/08/2019,14:19:30,39.202,-76.847,A0,,,,
OK,19/08/2019,14:54:28,39.237,-76.806,AA,,,,
OK,19/08/2019,15:25:19,39.232,-76.754,A0,,,,
OK,19/08/2019,15:56:59,39.237,-76.707,A0,,,,
OK,19/08/2019,19:50:00,38.964,-76.682,A0,,,,
OK,19/08/2019,21:27:13,39.238,-76.834,A1,,,,
OK,19/08/2019,22:31:40,39.231,-76.830,A2,,,,
OK,19/08/2019,23:09:53,39.238,-76.818,AA,,,,
OK,19/08/2019,23:23:35,39.245,-76.814,AB,,,,
OK,20/08/2019,00:04:44,39.252,-76.823,AA,,,,
OK,20/08/2019,00:13:52,39.231,-76.815,A2,,,,
OK,20/08/2019,00:37:11,39.240,-76.814,AB,,,,
OK,20/08/2019,00:57:06,39.230,-76.816,A3,,,,
OK,20/08/2019,01:38:41,39.230,-76.818,A3,,,,
OK,20/08/2019,02:16:37,39.230,-76.816,A2,,,,
OK,20/08/2019,02:38:41,39.232,-76.809,A3,,,,
OK,20/08/2019,03:20:44,39.228,-76.820,A3,,,,
OK,20/08/2019,13:21:53,39.233,-76.802,A3,,,,
OK,20/08/2019,13:57:48,39.249,-76.846,A1,,,,
OK,20/08/2019,14:32:19,39.241,-76.733,A0,,,,
OK,20/08/2019,15:03:09,39.203,-76.806,A1,,,,
OK,20/08/2019,15:36:53,39.207,-76.873,A1,,,,
OK,20/08/2019,19:38:46,39.203,-76.813,AA,,,,
OK,20/08/2019,21:14:27,39.240,-76.779,A1,,,,
OK,20/08/2019,22:01:25,39.235,-76.830,A1,,,,
OK,20/08/2019,22:55:01,39.227,-76.820,A1,,,,
OK,20/08/2019,23:42:26,39.229,-76.810,A2,,,,
OK,21/08/2019,00:36:36,39.230,-76.820,A3,,,,
OK,21/08/2019,01:20:47,39.232,-76.817,A3,,,,
OK,21/08/2019,01:55:51,39.230,-76.819,AB,,,,
OK,21/08/2019,02:18:00,39.232,-76.813,A3,,,,
OK,21/08/2019,03:02:14,39.231,-76.814,A2,,,,
OK,21/08/2019,13:01:47,39.227,-76.828,A3,,,,
OK,21/08/2019,13:37:09,39.219,-76.801,A1,,,,
OK,21/08/2019,15:16:28,39.232,-76.752,A0,,,,
OK,21/08/2019,15:56:46,39.232,-76.743,AB,,,,
OK,21/08/2019,16:20:57,39.237,-76.813,AB,,,,
OK,21/08/2019,19:28:05,39.203,-76.756,AB,,,,
OK,21/08/2019,21:05:17,39.232,-76.819,A3,,,,
OK,21/08/2019,22:48:01,39.236,-76.816,A1,,,,
OK,21/08/2019,23:14:52,39.232,-76.822,A3,,,,
OK,22/08/2019,00:18:58,39.229,-76.820,A3,,,,
OK,22/08/2019,00:52:06,39.227,-76.820,AB,,,,
OK,22/08/2019,01:56:21,39.230,-76.818,A3,,,,
OK,22/08/2019,02:39:57,39.232,-76.813,A3,,,,
OK,22/08/2019,09:27:04,39.232,-76.820,A2,,,,
OK,22/08/2019,10:26:43,39.230,-76.816,A3,,,,
OK,22/08/2019,11:05:26,39.229,-76.812,A2,,,,
OK,22/08/2019,12:06:12,39.223,-76.835,A1,,,,
OK,22/08/2019,12:38:17,39.233,-76.815,AB,,,,
OK,22/08/2019,13:17:01,39.233,-76.786,A1,,,,
OK,22/08/2019,14:21:01,39.231,-76.813,A1,,,,
OK,22/08/2019,14:55:33,39.252,-76.849,A0,,,,
OK,22/08/2019,16:00:27,39.144,-76.921,A0,,,,
OK,22/08/2019,16:40:31,38.975,-77.009,AA,,,,
