CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,02/06/2019,18:01:36,50.4096909,-104.5718155,3D,,,,
OK,04/06/2019,18:01:36,50.4098434,-104.5720215,3D,,,,
OK,06/06/2019,18:01:36,50.4098701,-104.5720444,3D,,,,
OK,08/06/2019,18:01:36,50.4098434,-104.5720215,3D,,,,
OK,10/06/2019,18:01:36,50.4098167,-104.5720444,3D,,,,
OK,12/06/2019,18:01:36,50.4096375,-104.5711212,3D,,,,
OK,14/06/2019,18:01:36,50.4097137,-104.5713501,3D,,,,
OK,16/06/2019,18:01:36,50.4098167,-104.5719910,3D,,,,
OK,18/06/2019,18:01:36,50.4095612,-104.5708923,3D,,,,
OK,18/06/2019,23:32:38,50.403,-104.557,A3,,,,
OK,18/06/2019,23:40:01,50.403,-104.557,AB,,,,
OK,20/06/2019,18:01:36,50.4094086,-104.5722275,3D,,,,
OK,22/06/2019,18:01:36,50.4097672,-104.5712738,3D,,,,
OK,24/06/2019,18:01:36,50.4095879,-104.5714569,3D,,,,
OK,24/06/2019,22:23:56,50.406,-104.560,A2,,,,
OK,26/06/2019,18:01:36,50.4098434,-104.5706406,3D,,,,
OK,28/06/2019,18:01:36,50.4092560,-104.5701218,3D,,,,
OK,30/06/2019,18:01:36,50.4095879,-104.5709686,3D,,,,
OK,02/07/2019,18:01:36,50.4093323,-104.5706100,3D,,,,
OK,02/07/2019,22:31:59,50.414,-104.570,A1,,,,
OK,04/07/2019,18:01:36,50.4089470,-104.5688477,3D,,,,
OK,06/07/2019,18:01:36,50.4079475,-104.5759354,3D,,,,
OK,06/07/2019,23:25:48,50.404,-104.579,A2,,,,
Fail,11/06/2019,03:07:44,24.3924351,-104.5720215,3D,,,,
Fail,12/06/2019,18:05:52,50.4088211,-104.5449066,3D,,,,
Fail,18/06/2019,06:26:08,50.4097137,-211.9461823,3D,,,,
Fail,26/06/2019,18:01:36,50.4082031,-104.5706406,3D,,,,
Fail,14/07/2019,23:34:24,-101.0763626,191.0629272,3D,,,,
Fail,18/05/2051,14:17:36,50.4073334,-104.5714569,3D,,,,
Fail,16/06/2053,22:32:32,30.2771835,-104.5457001,3D,,,,
