CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,17/06/2020,00:00:00,43.5955086,-116.2357407,3D,,,,
OK,17/06/2020,08:02:08,43.5955582,-116.2356873,3D,,,,
OK,17/06/2020,16:00:00,43.5954056,-116.2351990,3D,,,,
OK,18/06/2020,00:02:08,43.5956078,-116.2356644,3D,,,,
OK,18/06/2020,08:00:00,43.5956612,-116.2357101,3D,,,,
OK,18/06/2020,16:02:08,43.5956078,-116.2357101,3D,,,,
OK(corrected),19/06/2020,00:00:00,43.5955849,-116.2357101,3D,,,,
OK,19/06/2020,08:02:08,43.5955849,-116.2357101,3D,,,,
OK,19/06/2020,16:00:00,43.5955582,-116.2356644,3D,,,,
OK,20/06/2020,00:02:08,43.5958138,-116.2355804,3D,,,,
OK,20/06/2020,08:00:00,43.5956879,-116.2355804,3D,,,,
OK(corrected),20/06/2020,15:28:00,43.5957375,-116.2360992,3D,,,,
OK,20/06/2020,16:02:08,43.5957375,-116.2356873,3D,,,,
OK,20/06/2020,16:32:10,43.624,-116.365,AB,,,,
OK,20/06/2020,16:34:06,43.600,-116.246,A3,,,,
OK,21/06/2020,00:00:00,43.5963249,-116.2348404,3D,,,,
OK,21/06/2020,08:02:08,43.5957108,-116.2356110,3D,,,,
OK,21/06/2020,16:00:00,43.5956345,-116.2356644,3D,,,,
OK,21/06/2020,17:19:36,43.596,-116.237,A3,,,,
OK,22/06/2020,00:02:08,43.5957642,-116.2356644,3D,,,,
OK,22/06/2020,08:00:00,43.5958405,-116.2354050,3D,,,,
OK,23/06/2020,00:00:00,43.5958405,-116.2356644,3D,,,,
OK,23/06/2020,01:17:34,43.629,-116.006,AB,,,,
OK,23/06/2020,01:19:35,43.599,-116.232,AB,,,,
OK,23/06/2020,08:02:08,43.5958405,-116.2356339,3D,,,,
OK,23/06/2020,16:00:00,43.5958138,-116.2355804,3D,,,,
OK,24/06/2020,00:02:08,43.5956612,-116.2357407,3D,,,,
OK,24/06/2020,01:04:36,43.606,-116.219,AB,,,,
OK,24/06/2020,01:13:04,43.603,-116.227,AB,,,,
OK,24/06/2020,08:00:00,43.5956612,-116.2356110,3D,,,,
OK,24/06/2020,16:02:08,43.5957108,-116.2356110,3D,,,,
OK,25/06/2020,00:00:00,43.5958405,-116.2351456,3D,,,,
OK,25/06/2020,00:57:24,43.595,-116.243,AA,,,,
OK,25/06/2020,08:02:08,43.5957108,-116.2356644,3D,,,,
OK,25/06/2020,16:00:00,43.5955315,-116.2357101,3D,,,,
OK,26/06/2020,00:02:08,43.5957375,-116.2356644,3D,,,,
OK,26/06/2020,00:44:06,43.595,-116.243,A2,,,,
OK,26/06/2020,16:02:08,43.5956612,-116.2356339,3D,,,,
OK,27/06/2020,00:00:00,43.5957108,-116.2355576,3D,,,,
OK,27/06/2020,08:02:08,43.5955582,-116.2416229,2D,,,,
OK,28/06/2020,00:02:08,43.5957642,-116.2355576,3D,,,,
OK,28/06/2020,00:21:20,43.609,-116.257,AB,,,,
OK,28/06/2020,16:02:08,43.6235390,-116.2716293,2D,,,,
OK,29/06/2020,00:00:00,43.5956078,-116.2355576,3D,,,,
OK,29/06/2020,02:00:28,43.598,-116.254,A2,,,,
OK,29/06/2020,16:00:00,43.5956612,-116.2357635,3D,,,,
OK,30/06/2020,00:02:08,43.5956879,-116.2355804,3D,,,,
OK,30/06/2020,08:00:00,43.5956345,-116.2355347,3D,,,,
OK,30/06/2020,12:43:55,43.601,-116.258,A1,,,,
OK,30/06/2020,16:02:08,43.5995255,-116.2277756,2D,,,,
OK,01/07/2020,00:00:00,43.5956612,-116.2356110,3D,,,,
OK,01/07/2020,08:02:08,43.5981445,-116.2263947,2D,,,,
OK,01/07/2020,16:00:00,43.5957375,-116.2355804,3D,,,,
OK,01/07/2020,17:02:58,43.595,-116.240,A3,,,,
OK,02/07/2020,00:02:08,43.5957870,-116.2357407,3D,,,,
OK,02/07/2020,16:02:08,43.5958405,-116.2355347,3D,,,,
OK,02/07/2020,17:51:35,43.598,-116.250,A1,,,,
OK,03/07/2020,00:00:00,43.5957108,-116.2356873,3D,,,,
OK,03/07/2020,08:02:08,43.5478668,-116.2297440,2D,,,,
OK,03/07/2020,16:00:00,43.5959167,-116.2356644,3D,,,,
OK,03/07/2020,17:06:41,43.595,-116.233,A2,,,,
