CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,08/05/2020,17:59:28,43.4997368,-116.5319519,3D,,,,
OK,09/05/2020,18:01:36,43.5133553,-116.5230713,3D,,,,
OK,10/05/2020,17:59:28,43.5133820,-116.5227127,3D,,,,
OK,11/05/2020,18:01:36,43.5134087,-116.5227356,3D,,,,
OK(corrected),13/05/2020,18:01:36,43.5131760,-116.5228958,3D,,,,
OK,14/05/2020,17:59:28,43.5133820,-116.5226898,3D,,,,
OK,14/05/2020,18:05:31,43.513,-116.515,A3,,,,
OK,14/05/2020,18:08:14,43.511,-116.516,AA,,,,
Fail,13/05/2020,16:19:12,43.5131760,-116.5097885,3D,,,,
Fail,14/05/2020,17:59:28,43.5133820,-116.5226898,3D,,,,
