CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,04/06/2019,18:01:36,50.3812981,-104.5260696,3D,,,,
OK,06/06/2019,18:01:36,50.3810959,-104.5267868,3D,,,,
OK,08/06/2019,18:01:36,50.3811455,-104.5258865,3D,,,,
OK,10/06/2019,18:01:36,50.3812981,-104.5260696,3D,,,,
OK,12/06/2019,18:01:36,50.3812485,-104.5260391,3D,,,,
OK,14/06/2019,18:01:36,50.3812218,-104.5260162,3D,,,,
OK,14/06/2019,22:40:26,50.383,-104.530,A3,,,,
OK,16/06/2019,18:01:36,50.3812981,-104.5261459,3D,,,,
OK(corrected),18/06/2019,18:01:36,50.3816071,-104.5255814,3D,,,,
OK,20/06/2019,18:01:36,50.3820915,-104.5405350,3D,,,,
OK,20/06/2019,23:13:39,50.333,-104.871,AA,,,,
Fail,04/06/2019,18:01:36,43.6704140,-104.5293427,3D,,,,
Fail,16/06/2019,19:09:52,52.0590210,-106.2038651,3D,,,,
Fail,18/06/2019,18:01:36,47.0261650,-104.5190277,3D,,,,
Fail,18/06/2019,21:17:52,50.5908089,-104.5267868,2D,,,,
Fail,08/12/2027,16:00:00,-130.8911285,-105.3422241,3D,,,,
Fail,19/11/2055,06:53:52,47.1800461,-101.5718307,3D,,,,
