CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,17/03/2018,18:01:36,27.7412739,-97.1312790,3D,,,,
OK,19/03/2018,18:01:36,27.7408905,-97.1265640,3D,,,,
OK,23/03/2018,18:01:36,27.7437057,-97.1330414,3D,,,,
OK,08/04/2018,18:01:36,27.7450371,-97.1311722,3D,,,,
OK,10/04/2018,18:01:36,27.7697144,-97.1169434,3D,,,,
OK(corrected),12/04/2018,16:53:20,30.6718845,-95.7925797,3D,,,,
OK,12/04/2018,18:01:36,30.7800198,-95.7925797,3D,,,,
OK,06/05/2018,18:41:48,45.662,-84.506,AB,,,,
OK,06/05/2018,20:17:39,45.660,-84.502,A3,,,,
OK,06/05/2018,21:58:32,45.654,-84.498,AB,,,,
Fail,23/02/2018,04:56:32,30.7800198,-94.1148529,3D,,,,
Fail,08/04/2018,18:01:36,27.7450371,-97.1311722,3D,,,,
Fail,10/04/2018,16:02:08,27.7697144,-43.4298477,3D,,,,
Fail,10/04/2018,18:01:36,27.7697144,-97.1169434,3D,,,,
Fail,12/04/2018,13:28:32,30.7791996,-95.7929840,3D,,,,
Fail,24/04/2018,21:17:52,30.7791996,-95.6845474,3D,,,,
