CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,17/08/2019,00:05:43,39.231,-76.814,A3,,,,
OK,17/08/2019,00:19:51,39.230,-76.819,A3,,,,
OK,17/08/2019,01:01:28,39.231,-76.816,A3,,,,
OK,17/08/2019,01:39:42,39.232,-76.815,AB,,,,
OK,17/08/2019,02:00:33,39.233,-76.814,A3,,,,
OK,17/08/2019,02:43:51,39.231,-76.816,A3,,,,
OK,17/08/2019,12:07:26,39.266,-76.765,AB,,,,
OK,17/08/2019,12:41:07,39.388,-76.782,AB,,,,
OK,17/08/2019,13:20:12,39.096,-77.062,A0,,,,
OK,17/08/2019,13:52:13,39.067,-77.085,AB,,,,
OK,17/08/2019,14:23:50,39.222,-76.820,A1,,,,
OK,17/08/2019,14:57:51,38.966,-75.526,A0,,,,
OK,17/08/2019,15:39:23,39.994,-79.267,AA,,,,
OK,17/08/2019,16:03:55,39.139,-76.681,A0,,,,
OK,17/08/2019,16:44:21,38.285,-76.532,A0,,,,
OK,17/08/2019,20:11:17,39.618,-76.542,A0,,,,
OK,17/08/2019,21:51:19,39.249,-76.782,A1,,,,
OK,17/08/2019,21:56:19,39.230,-76.830,A1,,,,
OK,17/08/2019,23:39:20,39.232,-76.825,A2,,,,
OK,18/08/2019,00:01:53,39.231,-76.820,A2,,,,
OK,18/08/2019,00:42:56,39.230,-76.821,A3,,,,
OK,18/08/2019,01:15:31,39.229,-76.818,AA,,,,
OK,18/08/2019,01:16:04,39.231,-76.820,AB,,,,
OK,18/08/2019,01:39:17,39.234,-76.803,A2,,,,
OK,18/08/2019,02:22:27,39.232,-76.812,A3,,,,
OK,18/08/2019,02:57:42,39.235,-76.817,AB,,,,
OK,18/08/2019,03:21:23,39.247,-76.826,A2,,,,
OK,18/08/2019,04:06:15,39.245,-76.835,AB,,,,
OK,18/08/2019,08:35:51,39.205,-76.891,AB,,,,
OK,18/08/2019,09:15:54,39.231,-76.814,A3,,,,
OK,18/08/2019,10:14:52,39.232,-76.819,A3,,,,
OK,18/08/2019,10:50:03,39.231,-76.816,A3,,,,
OK,18/08/2019,11:58:51,39.228,-76.841,AA,,,,
OK,18/08/2019,13:02:39,39.348,-76.858,AB,,,,
OK,18/08/2019,14:03:33,39.228,-76.757,A0,,,,
OK,18/08/2019,14:39:03,39.222,-76.766,A0,,,,
OK,18/08/2019,15:14:01,39.191,-77.399,A0,,,,
