CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,08/10/2018,17:59:28,36.9407120,-97.9954300,3D,,,,
OK,12/10/2018,17:59:28,31.5016060,-98.9160614,3D,,,,
OK,20/10/2018,17:59:28,24.8717690,-98.0701828,3D,,,,
OK,22/10/2018,17:59:28,21.5841923,-97.8084259,3D,,,,
OK,24/10/2018,17:59:28,17.2387962,-93.5998840,3D,,,,
OK,26/10/2018,17:59:28,14.0632963,-88.6922379,3D,,,,
OK,28/10/2018,17:59:28,12.9163904,-86.6077042,3D,,,,
OK,30/10/2018,17:59:28,12.9160318,-86.6069641,3D,,,,
OK,01/11/2018,17:59:28,12.9174147,-86.6105499,3D,,,,
OK,01/11/2018,22:29:24,12.919,-86.617,A3,,,,
OK,03/11/2018,17:59:28,12.9173889,-86.6107483,3D,,,,
OK,05/11/2018,17:59:28,12.9161091,-86.6072464,3D,,,,
OK,05/11/2018,21:44:20,12.952,-86.584,AA,,,,
OK,07/11/2018,17:59:28,12.9161854,-86.6072998,3D,,,,
OK,09/11/2018,17:59:28,12.9153156,-86.6078339,3D,,,,
OK,11/11/2018,17:59:28,12.9164925,-86.6080627,3D,,,,
OK,11/11/2018,22:13:47,12.929,-86.577,A1,,,,
Fail,17/09/2017,09:18:56,34.8436852,-97.6966553,3D,,,,
Fail,14/10/2018,16:21:20,26.5363846,-98.0701828,3D,,,,
Fail,14/10/2018,17:59:28,37.8059120,-98.6205826,3D,,,,
Fail,16/10/2018,17:59:28,29.2057991,-98.2770844,3D,,,,
Fail,18/10/2018,17:59:28,25.9762821,-98.1946259,2D,,,,
Fail,28/10/2018,17:59:28,12.9163904,-86.6077042,3D,,,,
Fail,25/11/2020,11:20:32,28.1327991,-97.6968613,3D,,,,
Fail,27/01/2023,04:41:36,14.0632706,-88.6922379,3D,,,,
Fail,07/11/2052,12:16:00,12.9160318,-86.6069641,3D,,,,
