CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,10/06/2020,00:02:08,43.5956879,-116.2352753,3D,,,,
OK,10/06/2020,08:00:00,43.5956345,-116.2357407,3D,,,,
OK,10/06/2020,16:02:08,43.5956345,-116.2356644,3D,,,,
OK,10/06/2020,16:38:04,43.588,-116.258,A1,,,,
OK,11/06/2020,00:00:00,43.5956345,-116.2356873,3D,,,,
OK,11/06/2020,08:02:08,43.5955849,-116.2356873,3D,,,,
OK,11/06/2020,16:00:00,43.5956078,-116.2356644,3D,,,,
OK,11/06/2020,16:20:15,43.589,-116.236,A1,,,,
OK,12/06/2020,00:02:08,43.5955582,-116.2356873,3D,,,,
OK,12/06/2020,08:00:00,43.5955315,-116.2356644,3D,,,,
OK,12/06/2020,16:02:08,43.5955582,-116.2357101,3D,,,,
OK,12/06/2020,17:24:59,43.593,-116.229,AA,,,,
OK,13/06/2020,00:00:00,43.5955315,-116.2357101,3D,,,,
OK,13/06/2020,08:02:08,43.5955315,-116.2357101,3D,,,,
OK,13/06/2020,16:00:00,43.5955849,-116.2357101,3D,,,,
OK,13/06/2020,16:04:49,43.578,-115.986,AB,,,,
OK,14/06/2020,00:02:08,43.5956879,-116.2356339,3D,,,,
OK,14/06/2020,08:00:00,43.5956078,-116.2357635,3D,,,,
OK,14/06/2020,16:02:08,43.5956078,-116.2357407,3D,,,,
OK,14/06/2020,16:58:27,43.379,-115.311,A0,,,,
OK,14/06/2020,16:58:58,43.381,-115.321,AB,,,,
OK,15/06/2020,00:00:00,43.5953293,-116.2357864,3D,,,,
OK,15/06/2020,08:02:08,43.5955849,-116.2357101,3D,,,,
OK,15/06/2020,16:00:00,43.5955315,-116.2357101,3D,,,,
OK,15/06/2020,16:37:07,43.598,-116.273,A0,,,,
OK,16/06/2020,00:02:08,43.5955582,-116.2357101,3D,,,,
OK,16/06/2020,08:00:00,43.5955315,-116.2356873,3D,,,,
OK,16/06/2020,16:02:08,43.5955582,-116.2357407,3D,,,,
OK,16/06/2020,16:17:07,43.592,-116.244,A3,,,,
OK,17/06/2020,00:00:00,43.5955086,-116.2357407,3D,,,,
OK,17/06/2020,08:02:08,43.5955582,-116.2356873,3D,,,,
OK,17/06/2020,16:00:00,43.5954056,-116.2351990,3D,,,,
