CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,17/08/2019,00:06:05,39.230,-76.817,A3,,,,
OK,17/08/2019,00:19:49,39.234,-76.816,A3,,,,
OK,17/08/2019,01:01:25,39.232,-76.821,A3,,,,
OK,17/08/2019,01:36:27,39.229,-76.816,AB,,,,
OK,17/08/2019,02:01:05,39.231,-76.818,A3,,,,
OK,17/08/2019,02:44:02,39.230,-76.817,A3,,,,
OK,17/08/2019,12:07:44,39.216,-76.808,AB,,,,
OK,17/08/2019,12:41:55,39.249,-76.817,AB,,,,
OK,17/08/2019,13:20:12,39.218,-76.848,A2,,,,
OK,17/08/2019,13:52:42,39.214,-76.849,AB,,,,
OK,17/08/2019,14:24:18,39.238,-76.811,A1,,,,
OK,17/08/2019,14:59:36,39.247,-76.926,A0,,,,
OK,17/08/2019,15:39:06,39.258,-76.866,AA,,,,
