CRC,Date,Time,Latitude,Longitude,Fix,Act1,Act2,Act3,Act4
OK,02/06/2019,18:01:36,50.4096909,-104.5718155,3D,,,,
OK,04/06/2019,18:01:36,50.4098434,-104.5720215,3D,,,,
OK(corrected),06/06/2019,17:57:20,50.4098701,110.1730423,3D,,,,
OK,06/06/2019,18:01:36,50.4098701,-104.5720444,3D,,,,
OK,08/06/2019,18:01:36,50.4098434,-104.5720215,3D,,,,
OK,10/06/2019,18:01:36,50.4098167,-104.5720444,3D,,,,
OK,12/06/2019,18:01:36,50.4096375,-104.5711212,3D,,,,
OK,12/06/2019,23:02:58,50.425,-104.503,A1,,,,
OK,14/06/2019,18:01:36,50.4097137,-104.5713501,3D,,,,
OK,16/06/2019,18:01:36,50.4098167,-104.5719910,3D,,,,
OK,18/06/2019,18:01:36,50.4095612,-104.5708923,3D,,,,
OK,18/06/2019,23:32:38,50.403,-104.557,A3,,,,
OK,18/06/2019,23:40:01,50.403,-104.557,AB,,,,
Fail,02/06/2019,18:01:36,90.6750565,-104.5718155,3D,,,,
Fail,11/06/2019,03:07:44,24.3924351,-104.5720215,3D,,,,
Fail,12/06/2019,18:05:52,50.4088211,-104.5449066,3D,,,,
Fail,18/06/2019,06:26:08,50.4097137,-211.9461823,3D,,,,
Fail,16/06/2053,22:32:32,30.2771835,-104.5457001,3D,,,,
